,hh_village_code,hh_reserve_section,n,Question,Value,survey,topic
70,14,FORET CLASSEE,108,Do you own a net to scare mosquitos?,108,test,Mosquito Nets
71,14,FORET CLASSEE,108,Do you own a net to fish?,4,test,Mosquito Nets
72,14,FORET CLASSEE,108,Do you own a net to catch poultry?,8,test,Mosquito Nets
73,14,FORET CLASSEE,108,Do you own a net for other reasons?,16,test,Mosquito Nets
74,14,FORET CLASSEE,108,Do you avoid mosquitos with other ways?,0,test,Mosquito Nets
75,14,FORET CLASSEE,108,Do you use spray to avoid mosquitos?,0,test,Mosquito Nets
76,14,FORET CLASSEE,108,Do you remove puddles to avoid mosquitos?,0,test,Mosquito Nets
77,14,FORET CLASSEE,108,Do you remove mosquito bushes to avoid mosquitos?,0,test,Mosquito Nets
78,14,FORET CLASSEE,108,Do you use repellent to avoid mosquitos?,0,test,Mosquito Nets
79,14,FORET CLASSEE,108,Do you use a mosquito net when you sleep?,101,test,Mosquito Nets
80,14,FORET CLASSEE,108,How many mosquito nets do you have?,2.074074074,test,Mosquito Nets
81,14,FORET CLASSEE,108,People who have not responded to where they got their nets,104,test,Mosquito Nets
82,14,FORET CLASSEE,108,People who got their nets from a street/shop/market,3,test,Mosquito Nets
83,14,FORET CLASSEE,108,People who got their net from a community officer,NA,test,Mosquito Nets
84,14,FORET CLASSEE,108,People who dont know where they got their nets,1,test,Mosquito Nets
85,14,FORET CLASSEE,108,People who got their net from a public health center,NA,test,Mosquito Nets
86,14,FORET CLASSEE,108,People who got their net from other places,NA,test,Mosquito Nets
87,14,FORET CLASSEE,108,People who got their net from a private health center,NA,test,Mosquito Nets
88,14,FORET CLASSEE,108,People who got their net through an MID campaign,103,test,Mosquito Nets
89,14,FORET CLASSEE,108,People who did not get a net,2,test,Mosquito Nets
90,14,FORET CLASSEE,108,People who got a net through CPN,1,test,Mosquito Nets
91,14,FORET CLASSEE,108,People who got a net through a vaccination visit,NA,test,Mosquito Nets
92,14,FORET CLASSEE,108,People who dont know where they got their net,2,test,Mosquito Nets
93,14,FORET CLASSEE,108,People who use Permanet brand,99,test,Mosquito Nets
94,14,FORET CLASSEE,108,People who use other brands,2,test,Mosquito Nets
95,14,FORET CLASSEE,108,People who use Yorkool,NA,test,Mosquito Nets
96,14,FORET CLASSEE,108,People who use Super Moustiquaire,NA,test,Mosquito Nets
97,14,FORET CLASSEE,108,People who use Tsaralay,NA,test,Mosquito Nets
98,14,FORET CLASSEE,108,People who dont know what brand they use,7,test,Mosquito Nets
99,14,FORET CLASSEE,108,People who use Royal Sentry,NA,test,Mosquito Nets
100,14,FORET CLASSEE,108,People who use Olyset,NA,test,Mosquito Nets
101,14,FORET CLASSEE,108,People who use Bestnet,NA,test,Mosquito Nets
102,14,FORET CLASSEE,108,People who use interceptor,NA,test,Mosquito Nets
